gene!isoform	grp1-10-A01	grp1-10-A02	grp1-10-A03	grp1-10-A05	grp1-10-A06	grp1-10-A10	grp1-10-A12	grp1-10-B02	grp1-10-B04	grp1-10-B07	grp1-10-B08	grp1-10-B10	grp1-10-B11	grp1-10-B12	grp1-10-C01	grp1-10-C02	grp1-10-C03	grp1-10-C04	grp1-10-C05	grp1-10-C06	grp1-10-C07	grp1-10-C10	grp1-10-D04	grp1-10-D05	grp1-10-D07	grp1-10-D10	grp1-10-D11	grp1-10-D12	grp1-10-E01	grp1-10-E02	grp1-10-E03	grp1-10-E06	grp1-10-E10	grp1-10-F02	grp1-10-F04	grp1-10-F05	grp1-10-F06	grp1-10-F07	grp1-10-F08	grp1-10-F09	grp1-10-F10	grp1-10-F12	grp1-10-G01	grp1-10-G02	grp1-10-G04	grp1-10-G06	grp1-10-G11	grp1-10-G12	grp1-10-H02	grp1-10-H06	grp1-10-H10	grp1-10-H11	grp1-10-H12	grp1-2-A01	grp1-2-A02	grp1-2-A03	grp1-2-A04	grp1-2-A05	grp1-2-A06	grp1-2-A07	grp1-2-A08	grp1-2-A09	grp1-2-A10	grp1-2-A11	grp1-2-A12	grp1-2-B01	grp1-2-B02	grp1-2-B03	grp1-2-B04	grp1-2-B05	grp1-2-B06	grp1-2-B07	grp1-2-B08	grp1-2-B09	grp1-2-B10	grp1-2-B11	grp1-2-C01	grp1-2-C02	grp1-2-C03	grp1-2-C04	grp1-2-C05	grp1-2-C06	grp1-2-C07	grp1-2-C08	grp1-2-C09	grp1-2-C10	grp1-2-C11	grp1-2-C12	grp1-2-D01	grp1-2-D02	grp1-3-A01	grp1-3-A02	grp1-3-A03	grp1-3-A08	grp1-3-A10	grp1-3-B02	grp1-3-B03	grp1-3-B04	grp1-3-B08	grp1-3-B09	grp1-3-B10	grp1-3-B11	grp1-3-B12	grp1-3-C04	grp1-3-C05	grp1-3-C06	grp1-3-C07	grp1-3-C08	grp1-3-C11	grp1-3-C12	grp1-3-D01	grp1-3-D02	grp1-3-D03	grp1-3-D04	grp1-3-D07	grp1-3-D10	grp1-3-D11	grp1-3-D12	grp1-3-E02	grp1-3-E06	grp1-3-E07	grp1-3-E08	grp1-3-E09	grp1-3-E12	grp1-3-F01	grp1-3-F04	grp1-3-F05	grp1-3-F07	grp1-3-F09	grp1-3-F10	grp1-3-G01	grp1-3-G02	grp1-3-G06	grp1-3-G07	grp1-3-G08	grp1-3-G09	grp1-3-G10	grp1-3-G11	grp1-3-G12	grp1-3-H01	grp1-3-H05	grp1-3-H10	grp1-3-H11	grp1-3-H12	grp1-4-A01	grp1-4-A06	grp1-4-A07	grp1-4-A08	grp1-4-A10	grp1-4-A12	grp1-4-B01	grp1-4-B02	grp1-4-B03	grp1-4-B04	grp1-4-B07	grp1-4-B08	grp1-4-B12	grp1-4-C01	grp1-4-C05	grp1-4-C06	grp1-4-C08	grp1-4-D01	grp1-4-D02	grp1-4-D04	grp1-4-D06	grp1-4-D07	grp1-4-D11	grp1-4-E04	grp1-4-E05	grp1-4-E06	grp1-4-E07	grp1-4-E09	grp1-4-E10	grp1-4-F01	grp1-4-F03	grp1-4-F04	grp1-4-F05	grp1-4-F06	grp1-4-F07	grp1-4-F09	grp1-4-F11	grp1-4-G01	grp1-4-G03	grp1-4-G04	grp1-4-G05	grp1-4-G06	grp1-4-G09	grp1-4-G10	grp1-4-G12	grp1-4-H01	grp1-4-H04	grp1-4-H09	grp1-4-H10	grp1-5-A05	grp1-5-B10	grp1-5-D04	grp1-5-D06	grp1-5-D10	grp1-5-E10	grp1-5-F07	grp1-5-G12	grp1-5-H02	grp1-5-H04	grp1-5-H08	grp1-6-A01	grp1-6-A02	grp1-6-A03	grp1-6-A04	grp1-6-A05	grp1-6-A06	grp1-6-A07	grp1-6-A08	grp1-6-A09	grp1-6-A10	grp1-6-A11	grp1-6-A12	grp1-6-B01	grp1-6-B02	grp1-6-B03	grp1-6-B04	grp1-6-B05	grp1-6-B06	grp1-6-B07	grp1-6-B08	grp1-6-B09	grp1-6-B10	grp1-6-B12	grp1-6-C01	grp1-6-C02	grp1-6-C04	grp1-6-C05	grp1-6-C06	grp1-6-C07	grp1-6-C08	grp1-6-C09	grp1-6-C11	grp1-6-C12	grp1-6-D01	grp1-6-D02	grp1-6-D03	grp1-6-D04	grp1-6-D05	grp1-6-D06	grp1-6-D07	grp1-6-D08	grp1-6-D12	grp1-6-E02	grp1-6-E05	grp1-6-E06	grp1-6-E08	grp1-6-E09	grp1-6-E10	grp1-6-E11	grp1-6-E12	grp1-6-F01	grp1-6-F02	grp1-6-F05	grp1-6-F06	grp1-6-F07	grp1-6-F08	grp1-6-F09	grp1-6-F10	grp1-6-F11	grp1-6-F12	grp1-6-G01	grp1-6-G02	grp1-6-G03	grp1-6-G04	grp1-6-G05	grp1-6-G06	grp1-6-G07	grp1-6-G08	grp1-6-G09	grp1-6-G11	grp1-6-G12	grp1-6-H01	grp1-6-H02	grp1-6-H03	grp1-6-H04	grp1-6-H05	grp1-6-H06	grp1-6-H07	grp1-6-H08	grp1-6-H09	grp1-6-H11	grp1-6-H12
ENSG00000003436!ENST00000453013.exon3_ENST00000453013.exon2_ENST00000453013.exon1_ENST00000453013.exon0		0.05	0.21		0.06		0.06						0.12		0.01		0.02						0.05	0.01			0.04	0.1		0.02	0.07				0.08						0.11	0.66					0.0					0.0		0.08		0.07		0.29	0.03					0.06	0.22		0.04			0.04	0.06		0.08	0.01		0.01			0.01		0.03		0.05	0.02	0.02	0.03			0.1	0.51	0.94	0.15	0.17	0.15	0.5		0.01		0.28		0.04		0.08		0.02	0.07		0.0	0.89	0.98			0.0	0.09		0.02		0.92			0.06	0.13			0.5		0.26	0.04	0.09												0.1				0.02	0.92	0.23			0.82		0.27	0.08	0.01	0.02		0.15	0.05		0.07				0.19		0.08		0.01	0.87	0.02		0.01				0.03	0.91	0.47	0.12	0.22	0.01				0.43			0.01	0.01	0.43	0.28	0.19		0.01	0.06				0.05	0.05		0.15	0.15	0.01		0.95	0.06	0.31		0.0	0.07	0.01		0.06				0.14	0.54	0.05	0.93		0.08	0.05				0.06				0.22					0.04			0.33	0.57		0.01	0.11		0.09	0.01	0.11		0.07	0.19	0.01	0.88	0.11		0.05	0.01				0.02	0.01		0.02				0.24	0.77	0.04		0.09	0.05		0.13	0.08		0.21			0.03	0.61	0.12		0.86	
ENSG00000110852!ENST00000228438.exon4_ENST00000228438.exon3_ENST00000228438.exon2_ENST00000228438.exon1_ENST00000228438.exon0	0.01		0.88	0.76					0.87		0.93		0.93		0.0					0.75	0.0	0.93			0.97	0.94	0.83				0.91		0.8		0.73	0.9		0.83	0.01					0.81				0.88			0.79		0.89		0.34	0.99	0.56		0.77	0.76		0.58		0.71				0.45		0.0	0.4			0.95	0.62	0.64				0.45		0.73	0.81					0.81	0.79	0.73	0.87		0.86	0.55	0.61	0.54			0.96				0.74	0.01					0.54			0.72			0.94				0.0	0.82		0.82	0.78				0.85	0.85	0.07								0.9		0.84			0.5	0.67		0.89			0.02		0.72	0.35	0.82	0.92	0.04		0.8	0.78	0.75	0.78			0.23	0.98			0.8	0.03			0.84	0.83	0.02		0.79	0.05		0.76		0.9	0.74	0.02			0.95	0.97				0.79		0.86	0.48	0.43	0.91						0.83				0.07		0.8	0.94	0.78				0.81		0.47		0.08					0.85	0.93	0.94	0.09	0.88	0.9				0.82	0.2		0.3		0.2		0.98		0.91	0.91	0.02			0.75			0.46	0.78		0.16	0.95		0.86					0.12		0.82	0.34		0.74	0.93	0.72		0.9		0.18	0.19	0.09		0.9		0.94	0.9	0.87		0.94			0.97		0.04		
ENSG00000110852!ENST00000538152.exon1_ENST00000538152.exon0	0.99		0.12	0.24					0.13		0.06999999999999995		0.06999999999999995		1.0					0.25	1.0	0.06999999999999995			0.030000000000000027	0.06000000000000005	0.17000000000000004				0.08999999999999997		0.19999999999999996		0.27	0.09999999999999998		0.17000000000000004	0.99					0.18999999999999995				0.12			0.20999999999999996		0.10999999999999999		0.6599999999999999	0.010000000000000009	0.43999999999999995		0.22999999999999998	0.24		0.42000000000000004		0.29000000000000004				0.55		1.0	0.6			0.050000000000000044	0.38	0.36				0.55		0.27	0.18999999999999995					0.18999999999999995	0.20999999999999996	0.27	0.13		0.14	0.44999999999999996	0.39	0.45999999999999996			0.040000000000000036				0.26	0.99					0.45999999999999996			0.28			0.06000000000000005				1.0	0.18000000000000005		0.18000000000000005	0.21999999999999997				0.15000000000000002	0.15000000000000002	0.9299999999999999								0.09999999999999998		0.16000000000000003			0.5	0.32999999999999996		0.10999999999999999			0.98		0.28	0.65	0.18000000000000005	0.07999999999999996	0.96		0.19999999999999996	0.21999999999999997	0.25	0.21999999999999997			0.77	0.020000000000000018			0.19999999999999996	0.97			0.16000000000000003	0.17000000000000004	0.98		0.20999999999999996	0.95		0.24		0.09999999999999998	0.26	0.98			0.050000000000000044	0.030000000000000027				0.20999999999999996		0.14	0.52	0.5700000000000001	0.08999999999999997						0.17000000000000004				0.9299999999999999		0.19999999999999996	0.06000000000000005	0.21999999999999997				0.18999999999999995		0.53		0.92					0.15000000000000002	0.06999999999999995	0.06000000000000005	0.91	0.12	0.09999999999999998				0.18000000000000005	0.8		0.7		0.8		0.020000000000000018		0.08999999999999997	0.08999999999999997	0.98			0.25			0.54	0.21999999999999997		0.84	0.050000000000000044		0.14					0.88		0.18000000000000005	0.6599999999999999		0.26	0.06999999999999995	0.28		0.09999999999999998		0.8200000000000001	0.81	0.91		0.09999999999999998		0.06000000000000005	0.09999999999999998	0.13		0.06000000000000005			0.030000000000000027		0.96		
ENSG00000120279!ENST00000367245.exon0_ENST00000367245.exon1	0.12		0.77			0.86	0.19		0.7							0.71			0.83	0.85					0.93			0.87		0.99			0.76					0.96						0.93	0.8		0.9				0.86		0.68				0.83		0.02								0.77	0.99	0.09			0.51	0.83						0.83		0.85			0.62		0.62		0.87	0.68	0.18	0.99					0.9					1.0		0.04	0.86	0.18						0.88		0.54				0.96			0.03										0.08														0.74						0.76		0.85	0.04		0.68														0.75	0.85																		0.77						0.22	0.96		0.39	0.97							0.09						0.96	0.81									0.22						0.83		0.45						0.98			0.02		0.59	0.72	0.41	0.45	0.06				0.06	0.72		0.76															0.98	0.53	0.7						0.4										0.29		
ENSG00000120279!ENST00000529453.exon0_ENST00000529453.exon1	0.01		0.02			0.04	0.03		0.13							0.13			0.07	0.04					0.04			0.01		0.01			0.12					0.03						0.04	0.04		0.05				0.11		0.16				0.14		0.3								0.03	0.0	0.08			0.09	0.03						0.11		0.02			0.09		0.19		0.1	0.28	0.4	0.01					0.09					0.0		0.01	0.09	0.18						0.08		0.13				0.01			0.01										0.09														0.12						0.07		0.07	0.22		0.14														0.02	0.04																		0.12						0.73	0.03		0.02	0.03							0.83						0.02	0.04									0.1						0.05		0.06						0.01			0.03		0.39	0.06	0.07	0.14	0.04				0.01	0.06		0.01															0.02	0.12	0.12						0.2										0.01		
ENSG00000120279!ENST00000532295.exon0_ENST00000532295.exon1_ENST00000532295.exon2	0.88		0.21			0.1	0.79		0.17							0.17			0.1	0.11					0.03			0.11		0.0			0.12					0.01						0.03	0.16		0.05				0.03		0.16				0.04		0.68								0.2	0.0	0.83			0.4	0.14						0.06		0.13			0.29		0.19		0.03	0.04	0.43	0.01					0.01					0.0		0.95	0.05	0.63						0.03		0.34				0.03			0.97										0.83														0.14						0.18		0.08	0.74		0.18														0.23	0.12																		0.11						0.05	0.01		0.59	0.01							0.08						0.02	0.16									0.68						0.13		0.49						0.0			0.94		0.02	0.22	0.52	0.42	0.9				0.92	0.21		0.22															0.0	0.36	0.19						0.4										0.7		
ENSG00000138722!ENST00000264790.exon0_ENST00000264790.exon1_ENST00000264790.exon2_ENST00000264790.exon3_ENST00000264790.exon4_ENST00000264790.exon5_ENST00000264790.exon6_ENST00000264790.exon7		0.07		0.14	0.03						0.21							0.01	0.01						0.06			0.11				0.05	0.01		0.02	0.19	0.02		0.0					0.01			0.19											0.21						0.07									0.2			0.04													0.01	0.58				0.23				0.04	0.01	0.09		0.06													0.22						0.16					0.0	0.13	0.02				0.13								0.05		0.02		0.01		0.07		0.0	0.01			0.08																	0.03	0.25				0.01					0.05		0.11		0.09				0.38	0.27	0.14		0.21	0.13						0.08															0.01		0.21						0.01				0.08		0.14									0.25					0.02		0.03	0.01			0.04					0.05	0.0	0.2	0.2					0.05				0.01				0.01				0.01		0.1	0.23			0.01				0.02				
ENSG00000138722!ENST00000394980.exon0_ENST00000394980.exon1_ENST00000394980.exon2_ENST00000394980.exon3_ENST00000394980.exon4_ENST00000394980.exon5_ENST00000394980.exon6_ENST00000394980.exon7_ENST00000394980.exon8		0.08		0.71	0.03						0.17							0.01	0.01						0.81			0.1				0.62	0.87		0.07	0.54	0.02		0.0					0.36			0.44											0.22						0.05									0.22			0.04													0.96	0.18				0.4				0.03	0.73	0.84		0.06													0.71						0.38					0.0	0.64	0.92				0.12								0.04		0.02		0.98		0.67		0.0	0.01			0.82																	0.92	0.2				0.95					0.57		0.1		0.52				0.31	0.17	0.43		0.35	0.14						0.09															0.96		0.16						0.95				0.84		0.81									0.2					0.01		0.84	0.01			0.04					0.89	0.98	0.2	0.55					0.04				0.91				0.14				0.78		0.12	0.04			0.95				0.02				
ENSG00000138722!ENST00000394981.exon0_ENST00000394981.exon1_ENST00000394981.exon2_ENST00000394981.exon3_ENST00000394981.exon4_ENST00000394981.exon5_ENST00000394981.exon6_ENST00000394981.exon7		0.82		0.06	0.93						0.1							0.01	0.98						0.1			0.72				0.01	0.12		0.89	0.08	0.94		0.99					0.07			0.34											0.31						0.02									0.43			0.89													0.02	0.12				0.24				0.21	0.26	0.03		0.72													0.03						0.13					0.0	0.18	0.05				0.51								0.88		0.94		0.01		0.24		0.99	0.01			0.07																	0.04	0.37				0.04					0.01		0.61		0.03				0.22	0.11	0.38		0.26	0.42						0.52															0.02		0.49						0.03				0.06		0.02									0.4					0.32		0.12	0.92			0.02					0.04	0.01	0.46	0.18					0.04				0.06				0.85				0.21		0.43	0.03			0.03				0.83				
ENSG00000138722!ENST00000508372.exon0_ENST00000508372.exon1_ENST00000508372.exon2_ENST00000508372.exon3_ENST00000508372.exon4_ENST00000508372.exon5_ENST00000508372.exon6_ENST00000508372.exon7		0.04		0.09	0.01						0.52							0.98	0.0						0.03			0.07				0.32	0.0		0.02	0.19	0.02		0.0					0.56			0.03											0.26						0.86									0.15			0.03													0.02	0.12				0.13				0.73	0.0	0.04		0.17													0.04						0.32					0.99	0.05	0.01				0.23								0.03		0.01		0.0		0.02		0.0	0.98			0.03																	0.02	0.18				0.0					0.37		0.18		0.36				0.09	0.45	0.05		0.18	0.3						0.32															0.0		0.14						0.0				0.03		0.03									0.15					0.64		0.01	0.05			0.9					0.02	0.0	0.14	0.07					0.87				0.02				0.0				0.0		0.35	0.7			0.01				0.13				
ENSG00000146278!ENST00000336032.exon0_ENST00000336032.exon1			0.46			0.99	0.26	0.29				0.97		0.94				0.41					0.37		0.37	0.01	0.29	0.88	0.01	0.22						0.83			0.87	0.95	0.98		0.98		0.95				0.99	0.29	0.86	0.81		0.99		0.96	0.05	0.9	0.14		0.95	0.98	0.07		0.96	0.99		0.03	0.08	0.2	0.88	0.88		0.98	0.98	0.39	0.95	0.06			0.99	0.02	0.92	0.97		0.83	0.01	0.01	0.27	0.63	0.06	0.33	0.06	0.76	0.07	0.13	0.92	0.98	0.82	0.86		0.95	0.96	0.65	0.03	0.95	0.4	0.97		0.97	0.9	0.72		0.41		0.22		0.2	0.97	0.36	0.25	0.94		0.98	0.69	0.18	0.98	0.38	0.94	0.91	0.99	0.97	0.96	0.89	0.42	0.34	0.62	0.92		0.87		0.95		0.16		0.02		0.77	0.02	0.79	0.86	0.98	0.38	0.33	0.41	0.23					0.03				0.99		0.6						0.98			0.97	0.39				0.61	0.86	0.93		0.91	0.8		0.33			0.62		0.86	0.94	0.97		0.91	0.4		0.49	0.89		0.9		0.87	0.53	0.82	0.4		0.12			0.83	0.44	0.36		0.94	0.3	0.94	0.35				0.87	0.76	0.94		0.66	0.06			0.01		0.01		0.03	0.34	0.27	0.98		0.05					0.77	0.3				0.42		0.98				0.49	0.99	0.97	0.43	0.96		0.3		0.07			0.69			0.68		0.84	0.01	0.43	0.96	0.86	0.83		0.18	0.42			0.97	0.93	
ENSG00000146278!ENST00000354922.exon0_ENST00000354922.exon1			0.02			0.0	0.52	0.01				0.01		0.02				0.0					0.14		0.05	0.04	0.0	0.01	0.02	0.0						0.05			0.05	0.01	0.01		0.01		0.01				0.0	0.03	0.05	0.05		0.0		0.01	0.06	0.03	0.05		0.02	0.01	0.07		0.01	0.0		0.07	0.19	0.06	0.03	0.05		0.0	0.0	0.0	0.01	0.05			0.0	0.94	0.03	0.01		0.06	0.02	0.01	0.0	0.02	0.06	0.0	0.0	0.08	0.01	0.0	0.02	0.01	0.03	0.06		0.02	0.01	0.15	0.01	0.02	0.0	0.0		0.03	0.02	0.06		0.0		0.0		0.72	0.01	0.01	0.0	0.02		0.01	0.0	0.66	0.01	0.06	0.03	0.03	0.0	0.0	0.02	0.04	0.08	0.0	0.13	0.02		0.05		0.01		0.0		0.65		0.04	0.04	0.06	0.04	0.01	0.01	0.0	0.03	0.01					0.4				0.01		0.05						0.0			0.01	0.0				0.09	0.05	0.02		0.0	0.07		0.02			0.03		0.0	0.01	0.01		0.01	0.0		0.44	0.05		0.03		0.02	0.01	0.02	0.0		0.03			0.05	0.06	0.0		0.02	0.0	0.01	0.01				0.0	0.23	0.02		0.01	0.02			0.94		0.99		0.08	0.02	0.01	0.01		0.55					0.02	0.03				0.0		0.0				0.0	0.0	0.01	0.16	0.01		0.0		0.1			0.0			0.32		0.07	0.96	0.01	0.01	0.0	0.05		0.01	0.0			0.01	0.02	
ENSG00000146278!ENST00000369472.exon0_ENST00000369472.exon1			0.52			0.01	0.22	0.71				0.02		0.04				0.59					0.49		0.58	0.94	0.71	0.11	0.97	0.77						0.11			0.08	0.03	0.01		0.01		0.04				0.01	0.67	0.08	0.14		0.01		0.03	0.89	0.07	0.81		0.03	0.01	0.85		0.03	0.01		0.9	0.73	0.74	0.09	0.07		0.02	0.02	0.61	0.04	0.89			0.01	0.05	0.05	0.02		0.11	0.97	0.98	0.72	0.35	0.87	0.66	0.94	0.15	0.92	0.86	0.06	0.01	0.15	0.08		0.03	0.03	0.2	0.96	0.03	0.6	0.02		0.01	0.08	0.23		0.59		0.78		0.08	0.03	0.64	0.75	0.04		0.01	0.31	0.16	0.01	0.56	0.04	0.06	0.01	0.02	0.03	0.07	0.51	0.66	0.25	0.06		0.08		0.03		0.84		0.32		0.19	0.94	0.14	0.1	0.01	0.61	0.67	0.56	0.76					0.57				0.01		0.34						0.02			0.02	0.61				0.3	0.1	0.05		0.09	0.13		0.66			0.35		0.14	0.05	0.03		0.08	0.6		0.07	0.07		0.07		0.11	0.46	0.17	0.6		0.86			0.12	0.49	0.63		0.04	0.7	0.05	0.65				0.13	0.01	0.04		0.32	0.92			0.05		0.01		0.89	0.65	0.72	0.01		0.4					0.22	0.68				0.58		0.01				0.51	0.01	0.02	0.42	0.03		0.7		0.83			0.3			0.0		0.09	0.03	0.56	0.02	0.14	0.13		0.81	0.57			0.02	0.04	
ENSG00000164691!ENST00000338313.exon7_ENST00000338313.exon6_ENST00000338313.exon5_ENST00000338313.exon4_ENST00000338313.exon3_ENST00000338313.exon2_ENST00000338313.exon1_ENST00000338313.exon0				0.94						0.0											1.0			0.07				0.33				0.03		0.7					0.01							0.51																		1.0												0.14			0.07					0.16		0.55				0.95		0.63	0.88													0.01					0.82	0.18																								0.17		0.65							0.93		0.91					0.9	0.96				0.96						0.31					0.2		0.01						0.06	0.02									0.97						0.18				0.9							0.09			0.05			0.2	0.99					0.7		0.31									0.06				0.09					1.0					0.18					0.15		0.6					0.21	0.01				0.99			0.0				0.01								0.59													0.99	0.07
