gene!isoform	grp2-1-A04	grp2-1-A05	grp2-1-A06	grp2-1-A10	grp2-1-A11	grp2-1-A12	grp2-1-B04	grp2-1-B05	grp2-1-B06	grp2-1-B10	grp2-1-B11	grp2-1-B12	grp2-1-C04	grp2-1-C05	grp2-1-C06	grp2-1-C11	grp2-1-C12	grp2-1-D04	grp2-1-D05	grp2-1-D06	grp2-1-D11	grp2-1-D12	grp2-1-E04	grp2-1-E05	grp2-1-E06	grp2-1-E10	grp2-1-E11	grp2-1-F01	grp2-1-F02	grp2-1-F04	grp2-1-F05	grp2-1-F06	grp2-1-F07	grp2-1-F09	grp2-1-F10	grp2-1-F11	grp2-1-F12	grp2-1-G01	grp2-1-G02	grp2-1-G03	grp2-1-G04	grp2-1-G05	grp2-1-G06	grp2-1-G07	grp2-1-G09	grp2-1-G10	grp2-1-G11	grp2-1-G12	grp2-1-H01	grp2-1-H02	grp2-1-H03	grp2-1-H04	grp2-1-H05	grp2-1-H06	grp2-1-H07	grp2-1-H08	grp2-1-H10	grp2-1-H11	grp2-1-H12	grp2-2-A02	grp2-2-A03	grp2-2-A04	grp2-2-A05	grp2-2-A06	grp2-2-A07	grp2-2-A08	grp2-2-A10	grp2-2-A11	grp2-2-A12	grp2-2-B02	grp2-2-B03	grp2-2-B05	grp2-2-B06	grp2-2-B07	grp2-2-B08	grp2-2-B09	grp2-2-B10	grp2-2-B11	grp2-2-B12	grp2-2-C01	grp2-2-C03	grp2-2-C04	grp2-2-C05	grp2-2-C06	grp2-2-C07	grp2-2-C08	grp2-2-C09	grp2-2-C10	grp2-2-C11	grp2-2-C12	grp2-2-D01	grp2-2-D02	grp2-2-D03	grp2-2-D04	grp2-2-D05	grp2-2-D06	grp2-2-D07	grp2-2-D08	grp2-2-D09	grp2-2-D10	grp2-2-D11	grp2-2-D12	grp2-2-E01	grp2-2-E02	grp2-2-E03	grp2-2-E04	grp2-2-E06	grp2-2-E07	grp2-2-E08	grp2-2-E09	grp2-2-E11	grp2-2-E12	grp2-2-F01	grp2-2-F02	grp2-2-F03	grp2-2-F04	grp2-2-F06	grp2-2-F07	grp2-2-F08	grp2-2-F09	grp2-2-F10	grp2-2-F11	grp2-2-F12	grp2-2-G01	grp2-2-G02	grp2-2-G03	grp2-2-G04	grp2-2-G05	grp2-2-G06	grp2-2-G07	grp2-2-G08	grp2-2-G09	grp2-2-G11	grp2-2-G12	grp2-2-H01	grp2-2-H02	grp2-2-H03	grp2-2-H04	grp2-2-H05	grp2-2-H06	grp2-2-H07	grp2-2-H08	grp2-2-H09	grp2-2-H10	grp2-2-H11	grp2-2-H12
ENSG00000110852!ENST00000538152.exon1_ENST00000538152.exon0	0.41000000000000003	0.99	0.88		0.12	0.17000000000000004	0.9299999999999999	0.14	0.37	0.94		0.7	0.48	0.79	0.83		0.85	0.16000000000000003	0.030000000000000027	0.12	0.69	0.32999999999999996	0.020000000000000018	0.9299999999999999	0.47	0.12	0.97				0.8	0.91	0.050000000000000044		0.37	0.87		0.87			0.85	0.15000000000000002	0.030000000000000027		0.06999999999999995	1.0	0.94	0.18999999999999995				1.0	0.43999999999999995	0.9299999999999999			0.31000000000000005	0.13			0.18999999999999995	0.98	0.10999999999999999	0.16000000000000003	0.77			0.99					0.06000000000000005	0.32999999999999996	0.12		0.20999999999999996		0.07999999999999996			0.24	0.21999999999999997			0.92			0.65	0.91		0.19999999999999996	0.19999999999999996				0.16000000000000003	1.0				0.99	0.22999999999999998	0.9	0.17000000000000004	0.16000000000000003		0.42000000000000004	0.25	0.17000000000000004	0.20999999999999996		0.050000000000000044		0.08999999999999997	0.99	0.06000000000000005	0.33999999999999997	0.76	0.99	0.48		0.91	0.7	0.98		0.06999999999999995	0.26	0.15000000000000002	0.24	0.88	0.14	0.31999999999999995	0.4		0.27			0.27			0.36			0.19999999999999996	0.010000000000000009
ENSG00000120279!ENST00000367245.exon0_ENST00000367245.exon1			0.94		0.34	0.99	0.76	0.65		0.08					0.02	0.8		0.98	0.98					0.73		0.15	0.02			0.84	0.23		0.27		0.0		0.96					0.82					0.98	0.99		0.31				0.87					0.9	0.51	0.28	0.37		0.83		0.96	0.65	0.87	0.72	0.46	0.78	0.01	0.73	0.7	0.61	0.01	0.54	0.85	0.82		0.98	0.68	0.6			0.51	0.85	0.16	0.57	0.15		0.67	0.17	0.75	0.34	0.66	0.63	0.1		0.95	0.74		0.07	0.66	0.83	0.74		0.97					0.37	0.04	0.06	0.96		0.72	0.05	0.76	0.48		0.73		0.12	0.81		0.45		0.11		0.61		0.98	0.32	0.87	0.01	0.93	0.99	0.89	0.99	0.17	0.77		0.35	0.52
ENSG00000120279!ENST00000529453.exon0_ENST00000529453.exon1			0.03		0.18	0.01	0.14	0.13		0.92					0.95	0.09		0.01	0.01					0.04		0.77	0.97			0.11	0.36		0.72		0.99		0.02					0.04					0.01	0.01		0.07				0.09					0.04	0.05	0.32	0.1		0.15		0.03	0.09	0.04	0.14	0.1	0.08	0.98	0.13	0.04	0.14	0.97	0.11	0.07	0.06		0.01	0.15	0.04			0.27	0.1	0.04	0.38	0.06		0.15	0.82	0.02	0.04	0.07	0.36	0.31		0.02	0.08		0.41	0.17	0.14	0.12		0.02					0.03	0.05	0.38	0.01		0.02	0.94	0.14	0.04		0.15		0.03	0.07		0.03		0.01		0.06		0.01	0.35	0.07	0.98	0.06	0.01	0.09	0.01	0.59	0.07		0.04	0.03
ENSG00000120279!ENST00000532295.exon0_ENST00000532295.exon1_ENST00000532295.exon2			0.03		0.48	0.01	0.1	0.22		0.01					0.02	0.11		0.01	0.0					0.24		0.08	0.02			0.06	0.42		0.02		0.0		0.01					0.15					0.02	0.0		0.62				0.04					0.07	0.45	0.39	0.53		0.02		0.01	0.26	0.08	0.14	0.44	0.14	0.01	0.15	0.26	0.25	0.01	0.35	0.08	0.11		0.01	0.17	0.36			0.22	0.06	0.8	0.05	0.79		0.18	0.01	0.22	0.62	0.27	0.01	0.58		0.02	0.18		0.53	0.17	0.03	0.14		0.01					0.6	0.91	0.56	0.03		0.26	0.01	0.11	0.48		0.12		0.86	0.13		0.53		0.88		0.33		0.01	0.33	0.07	0.01	0.01	0.0	0.02	0.01	0.24	0.15		0.61	0.45
ENSG00000138722!ENST00000264790.exon0_ENST00000264790.exon1_ENST00000264790.exon2_ENST00000264790.exon3_ENST00000264790.exon4_ENST00000264790.exon5_ENST00000264790.exon6_ENST00000264790.exon7	0.01	0.01			0.62		0.01	0.04			0.06	0.03	0.0	0.03	0.01	0.02	0.01	0.16	0.13		0.09	0.21	0.0	0.33	0.32	0.03	0.02			0.15		0.0	0.11		0.02		0.01	0.0	0.01				0.64		0.08			0.02		0.02			0.03				0.03		0.03		0.24			0.01		0.25	0.02				0.01			0.03	0.11	0.11	0.03	0.23								0.04		0.3	0.01	0.02	0.02	0.2				0.03				0.1	0.02	0.13					0.03				0.11				0.01						0.23			0.01	0.07			0.34		0.02	0.13			0.03	0.01		0.04	0.01	0.1			0.27	0.05	0.03	0.12	0.52
ENSG00000138722!ENST00000394980.exon0_ENST00000394980.exon1_ENST00000394980.exon2_ENST00000394980.exon3_ENST00000394980.exon4_ENST00000394980.exon5_ENST00000394980.exon6_ENST00000394980.exon7_ENST00000394980.exon8	0.98	0.63			0.3		0.01	0.68			0.5	0.03	0.0	0.88	0.98	0.94	0.74	0.5	0.11		0.87	0.39	0.78	0.33	0.24	0.39	0.96			0.78		0.0	0.79		0.75		0.94	0.99	0.98				0.08		0.06			0.82		0.88			0.86				0.02		0.95		0.13			0.72		0.22	0.92				0.98			0.97	0.7	0.25	0.85	0.65								0.56		0.55	0.96	0.96	0.96	0.14				0.94				0.81	0.81	0.69					0.94				0.82				0.01						0.43			0.98	0.85			0.23		0.97	0.62			0.86	0.01		0.03	0.95	0.09			0.22	0.54	0.03	0.32	0.09
ENSG00000138722!ENST00000394981.exon0_ENST00000394981.exon1_ENST00000394981.exon2_ENST00000394981.exon3_ENST00000394981.exon4_ENST00000394981.exon5_ENST00000394981.exon6_ENST00000394981.exon7	0.01	0.35			0.06		0.93	0.02			0.44	0.92	0.0	0.08	0.01	0.03	0.26	0.11	0.44		0.02	0.34	0.21	0.33	0.21	0.57	0.02			0.05		0.0	0.08		0.23		0.05	0.01	0.01				0.26		0.72			0.15		0.1			0.11				0.95		0.02		0.6			0.26		0.39	0.05				0.01			0.0	0.15	0.16	0.12	0.07								0.0		0.12	0.02	0.02	0.02	0.58				0.02				0.06	0.17	0.06					0.02				0.05				0.97						0.21			0.01	0.06			0.14		0.01	0.17			0.09	0.98		0.02	0.04	0.73			0.26	0.4	0.91	0.03	0.38
ENSG00000138722!ENST00000508372.exon0_ENST00000508372.exon1_ENST00000508372.exon2_ENST00000508372.exon3_ENST00000508372.exon4_ENST00000508372.exon5_ENST00000508372.exon6_ENST00000508372.exon7	0.0	0.0			0.02		0.05	0.26			0.01	0.02	0.99	0.01	0.01	0.0	0.0	0.23	0.33		0.01	0.07	0.0	0.0	0.23	0.01	0.0			0.02		0.99	0.02		0.0		0.0	0.0	0.01				0.02		0.15			0.01		0.0			0.0				0.01		0.0		0.03			0.0		0.15	0.01				0.0			0.0	0.03	0.48	0.01	0.04								0.4		0.04	0.01	0.0	0.0	0.08				0.01				0.04	0.01	0.12					0.01				0.02				0.01						0.13			0.0	0.02			0.29		0.0	0.08			0.01	0.01		0.91	0.0	0.08			0.25	0.01	0.03	0.53	0.01
ENSG00000146278!ENST00000336032.exon0_ENST00000336032.exon1	0.75	0.33		0.96		0.92		0.97		0.03	0.3										0.05	0.89	0.36			0.85				0.86					0.28		0.85	0.89				0.02	0.57	0.02		0.16		0.12		0.98		0.32	0.21		0.42															0.38		0.94					0.33						0.95				0.86	0.31						0.89		0.78	0.14			0.31					0.83	0.3				0.22			0.35	0.36				0.22	0.29	0.08					0.38					0.89		0.41		0.18	0.24	0.11				0.5	0.07	0.92	0.26			0.35
ENSG00000146278!ENST00000369472.exon0_ENST00000369472.exon1	0.17	0.63		0.02		0.05		0.03		0.03	0.7										0.93	0.09	0.04			0.12				0.11					0.71		0.11	0.08				0.07	0.36	0.94		0.01		0.0		0.01		0.08	0.05		0.58															0.61		0.04					0.67						0.03				0.09	0.63						0.06		0.2	0.86			0.45					0.14	0.7				0.77			0.65	0.63				0.78	0.69	0.89					0.6					0.07		0.59		0.82	0.74	0.89				0.45	0.85	0.08	0.56			0.64
ENSG00000164691!ENST00000326965.exon8_ENST00000326965.exon7_ENST00000326965.exon6_ENST00000326965.exon5_ENST00000326965.exon4_ENST00000326965.exon3_ENST00000326965.exon2_ENST00000326965.exon1_ENST00000326965.exon0	0.05	0.62			0.08			0.04	0.24	0.28		0.05		0.01	0.07		0.36	0.01	0.08	0.0	0.06	0.04		0.02		0.02					0.28		0.03									0.05		0.03		0.1	0.04	0.15		0.03		0.01			0.05		0.11				0.02				0.01		0.02			0.22	0.09		0.03				0.31	0.08	0.45	0.33		0.08			0.04	0.0	0.06				0.06		0.03							0.01			0.07				0.66	0.01			0.09		0.07			0.06	0.02		0.06		0.06								0.09		0.05	0.0		0.0	0.05	0.01							0.42		0.04	
ENSG00000164691!ENST00000338313.exon7_ENST00000338313.exon6_ENST00000338313.exon5_ENST00000338313.exon4_ENST00000338313.exon3_ENST00000338313.exon2_ENST00000338313.exon1_ENST00000338313.exon0	0.93	0.22			0.9			0.93	0.62	0.7		0.94		0.99	0.19		0.62	0.97	0.86	1.0	0.92	0.88		0.96		0.73					0.63		0.95									0.9		0.94		0.84	0.96	0.11		0.94		0.98			0.95		0.87				0.93				0.98		0.57			0.03	0.89		0.93				0.68	0.91	0.2	0.4		0.07			0.91	1.0	0.93				0.93		0.96							0.99			0.92				0.18	0.99			0.17		0.89			0.93	0.95		0.93		0.5								0.88		0.94	0.99		1.0	0.95	0.05							0.33		0.92	
ENSG00000164691!ENST00000367066.exon9_ENST00000367066.exon8_ENST00000367066.exon7_ENST00000367066.exon6_ENST00000367066.exon5_ENST00000367066.exon4_ENST00000367066.exon3_ENST00000367066.exon2_ENST00000367066.exon1_ENST00000367066.exon0	0.03	0.17			0.02			0.02	0.14	0.02		0.01		0.0	0.75		0.03	0.02	0.06	0.0	0.02	0.08		0.02		0.25					0.09		0.02									0.05		0.02		0.05	0.01	0.74		0.03		0.01			0.0		0.02				0.04				0.01		0.42			0.76	0.02		0.04				0.01	0.01	0.36	0.27		0.86			0.05	0.0	0.01				0.02		0.01							0.0			0.01				0.17	0.0			0.74		0.04			0.01	0.03		0.01		0.44								0.04		0.0	0.0		0.0	0.0	0.94							0.25		0.05	
